team_name,elo_rating
Vitality,1948.6622911310599
Spirit,1861.8446254873081
MOUZ,1824.1934439163383
Falcons,1819.3991841339164
FURIA,1814.1087272848788
The MongolZ,1793.8627385656803
PARIVISION,1770.8711807072805
Natus Vincere,1767.4504588181182
ESC,1756.7976562477495
fnatic,1737.512473022906
G2,1723.2970767942004
BetBoom,1717.673311724574
3DMAX,1716.5943852163703
9INE,1713.69074987602
Imperial,1699.1999483219906
Liquid,1693.4019976693594
Aurora,1687.3359481909383
FaZe,1687.2258051501217
BESTIA,1672.8662240754852
FUT,1661.4211320918503
SemperFi,1658.2553439209437
MIBR,1656.864495841342
OG,1656.3812573916696
Legacy,1653.8825033754838
HOTU,1646.7597601712741
ATOX,1643.319963533099
M80,1637.1149436899057
TYLOO,1634.6475903080159
HEROIC,1634.4810160964025
Lynn Vision,1631.648832767536
The Huns,1629.7451976178738
Astralis,1627.9678432300218
Marsborne,1625.9959580027735
Inner Circle,1624.5705362502006
Passion UA,1619.364917948249
Ninjas in Pyjamas,1614.6415747534672
RUBY,1614.3306267236148
ENCE,1613.4289517371824
ECSTATIC,1609.9204416114637
Sangal,1608.1108246440372
Rare Atom,1607.9663668165354
9z,1607.3941238120865
B8,1606.8982450928897
RED Canids,1600.9369002624708
BC.Game,1598.8120453155987
Monte,1595.2836931480335
paiN,1593.982495555007
GamerLegion,1592.3880417256505
Alliance,1591.9520207983003
NRG,1589.7278041940742
Fluxo,1584.304811093077
Virtus.pro,1583.0990492358278
1win,1582.7627426042322
Gentle Mates,1580.6208099049336
Partizan,1579.8519509493499
SINNERS,1578.489901692174
Wildcard,1577.083125192638
WOPA,1576.9556431908325
Johnny Speeds,1575.8242061502526
ODDIK,1573.7139081942323
ex-Inner Circle,1573.1328161007048
TPuDCATb TPu,1572.3095890854715
fish123,1570.5309403087344
Zero Tenacity,1569.101749064607
K27,1568.90382646836
Spirit Academy,1568.2021572621588
Nuclear TigeRES,1566.8962227892684
LP,1564.5119277819301
ECLOT,1561.9310115827136
BIG,1559.730208596204
Sharks,1558.1874740002909
Dusty Roots,1557.0566865969731
FlyQuest,1555.5904154486702
GUN5,1554.7425941449487
Rooster,1554.1782024787994
500,1552.8308888676804
FAVBET,1552.4830773184053
SAW,1551.5010851995694
MIBR fe,1546.9880638173436
Getting Info,1539.5669568529943
BIG EQUIPA,1537.2304962029928
AMKAL,1533.911210677469
EYEBALLERS,1533.592090959971
Oramond,1532.5209399960659
FURIA fe,1531.1311130267356
Gaimin Gladiators,1530.408976982957
CYBERSHOKE,1530.1090072476381
ex-Chicken Coop,1528.634527242022
SkinRave,1527.5494080276194
Nemiga,1526.8196350704864
Nordix,1519.511862505189
ShindeN,1519.1820565433252
ASTRAL,1517.402373648406
Insomnia,1517.3453006551133
Shimmer,1516.965247737119
TNC,1516.736306793522
Aether,1516.708668404897
Blaze Warriors,1516.0
DUSTY,1516.0
WATERMELON,1516.0
regain,1515.7895425690713
Phoenix,1515.2416291243549
WahWah,1515.227684985616
Bravado,1515.1387711124587
FULL SEND,1514.8787302609574
hypewrld,1514.6320783334422
HAVENs,1513.1281248226185
Anonymo,1512.2001096295392
aimclub,1512.0309613352122
Overpeek,1510.2905079173727
Flame Sharks fe,1505.1569150181422
GenOne,1504.4957238099441
L&G,1503.2670626525573
E9,1502.7290385123122
Eternal Fire,1501.4756909023936
Cyber Empire,1501.4695015289756
Flame Sharks,1500.3218289285526
Sashi,1499.9272004439629
Wave,1499.263693206478
Nii Kerge,1499.263693206478
Last Bullet,1498.165653472262
Keyd Stars,1497.6294746056806
Kaleido,1497.4370224249662
G2 Ares,1497.031328201787
BOSS,1496.719912514211
Betera,1496.0355973457708
Fire Flux,1495.6084621043867
Peekaboo,1494.9221768279665
Atrix,1494.6459744975377
GENESIS,1494.5351309928953
Leça,1494.401009780666
JiJieHao,1493.5327763819105
LAG,1492.9534308033901
Teamwork,1489.2299520751806
NSN,1487.6699699679925
Preasy Mix,1487.531866810937
hindsight,1487.4251584460549
BAKS,1487.3335540405512
XPERION NXT,1487.1084103689004
1ADL,1487.044137825675
DanCompany,1486.8250026219396
SportsBetExpert,1486.5549421668925
ODDIK Academy,1486.3787116727876
GANK,1486.2704235425108
Bärendienst,1485.710653003188
GhoulsW,1485.413747557691
Arrow,1485.337850247813
M1Z,1484.6347269311043
XNL,1484.5108924250812
Phantom,1484.500271827523
Reveal,1484.0
CSDE,1484.0
Þór,1484.0
Elocon,1484.0
Chinggis Warriors,1483.9664246084903
drosselfamily,1483.263693206478
OxinGame,1483.2528772577855
THE,1482.9659821859261
Wildcard Academy,1482.8591035183986
Linx Legacy,1482.5543874432904
DEPO,1482.0562810482754
MOLO,1481.6692988905108
Amped,1481.5611995384263
Beyman,1481.4811811033353
Amped Red,1481.206552287809
Take Flyte,1481.1817535979333
Fake do Biru,1480.4601352637114
Nemesis,1480.135529302534
Northern Lights,1479.8877563216768
Aurora Young Blud,1479.8845513260057
TSG,1479.3497191780452
888aura,1479.3333152772495
MONEY CREW,1478.961351752273
XP Academy,1478.0055048772497
Dashskins,1477.8741057985237
wwaves,1477.4395341998359
m1x,1476.136744042116
Alter Ego,1475.4472247711942
NOVAQ,1474.8715423241465
Let Her Cook,1472.9966935056711
Rounds,1472.2929409485298
Reverse Sweep,1471.894505599452
3DMAX Academy,1471.8613990223353
Revel,1471.6090775377636
INFINITE,1471.3418752653397
AM,1471.213621767144
Procyon,1470.786699825588
KRÜ,1470.3995704469894
Ursa,1470.1681672628372
Rhyno YNG,1469.7128926443586
Esprots,1469.4695015289756
ALLINNERS,1469.3831567513707
Martians,1469.1641795312482
Exusiai,1468.9429378277425
Nemesis Impact,1468.8462848193988
AVEZ,1468.748367948
Zomblers,1468.2782077710738
XDM,1468.225579768867
Glamour,1467.6442356280884
Mousquetaires,1467.4613609365244
Outfit 49,1467.3674730751516
Leo,1466.8050035514402
Kitsune,1466.1417884550376
Brazen,1465.8953427545755
Bounty Hunters,1465.8620837173798
NYX,1465.7481210083013
Steel Helmet,1465.7385793329736
Fingers Crossed,1465.325494469398
Tropa do KinGui,1464.9361109138592
Al-Ittihad,1464.1333667832707
FlyQuest RED,1463.626855532829
Ghost,1463.5344173671808
ex-SENZA,1462.8567776810482
ScarX,1461.9692104322169
KHAN,1461.5500469252988
2GAME,1461.2050018650725
FengDa,1460.5529501287854
Yawara,1459.639917669923
Legion,1459.428633389427
kONO,1459.0277854167912
Y5,1458.9243565726015
anything else,1458.4618698536742
Ground Zero,1458.3010129640757
Betclic,1457.2557997234196
RED Canids Academy,1457.1267029139544
MOUZ NXT,1456.0837411453379
Dark Tigers,1456.0327472616507
Square Sausages,1455.631264585621
CSDIILIT,1455.6123017546854
Four Magic,1454.7685575049597
VEXA,1454.6856210014716
Venom,1454.1404694196592
ECF,1454.0766582701813
AK BARS,1453.705067236984
Money Crew,1453.4784010345213
CPH Wolves,1453.35403933585
Brave Bears,1453.1412175841947
GATERON,1453.1065154310786
SKYFURY,1451.70610239219
True Thunder,1449.8274528873899
Galorys,1449.3975194609168
INFURITY,1449.1998714158328
